year,city_avg_temp,global_avg_temp
1849,25.58,7.98
1850,25.52,7.90
1851,25.67,8.18
1856,26.28,8.00
1857,25.17,7.76
1858,25.49,8.10
1859,25.92,8.25
1860,25.46,7.96
1861,25.67,7.85
1862,25.17,7.56
1873,25.62,8.35
1874,25.68,8.43
1875,25.25,7.86
1876,25.14,8.08
1877,25.85,8.54
1878,25.87,8.83
1879,25.38,8.17
1880,25.96,8.12
1881,26.07,8.27
1882,25.69,8.13
1883,26.13,7.98
1884,26.37,7.77
1885,26.07,7.92
1886,25.47,7.95
1887,24.91,7.91
1888,24.95,8.09
1889,25.12,8.32
1890,24.86,7.97
1891,25.11,8.02
1892,25.17,8.07
1893,25.33,8.06
1894,25.04,8.16
1895,25.37,8.15
1896,25.33,8.21
1897,25.64,8.29
1898,25.47,8.18
1899,26.46,8.40
1900,26.12,8.50
1901,25.92,8.54
1902,25.59,8.30
1903,25.48,8.22
1904,25.24,8.09
1905,25.78,8.23
1906,26.08,8.38
1907,25.69,7.95
1908,25.80,8.19
1909,25.57,8.18
1910,25.70,8.22
1911,25.41,8.18
1912,26.42,8.17
1913,26.33,8.30
1914,26.28,8.59
1915,26.29,8.59
1916,26.13,8.23
1917,26.47,8.02
1918,25.93,8.13
1919,26.19,8.38
1920,26.32,8.36
1921,26.42,8.57
1922,26.23,8.41
1923,25.96,8.42
1924,26.09,8.51
1925,26.09,8.53
1926,26.79,8.73
1927,26.23,8.52
1928,26.16,8.63
1929,26.50,8.24
1930,26.39,8.63
1931,26.44,8.72
1932,25.81,8.71
1933,26.55,8.34
1934,26.38,8.63
1935,26.15,8.52
1936,25.88,8.55
1937,26.54,8.70
1938,26.53,8.86
1939,25.84,8.76
1940,26.61,8.76
1941,26.77,8.77
1942,26.34,8.73
1943,26.06,8.76
1944,26.56,8.85
1945,26.52,8.58
1946,26.25,8.68
1947,26.37,8.80
1948,26.15,8.75
1949,26.51,8.59
1950,26.20,8.37
1951,26.32,8.63
1952,26.28,8.64
1953,26.24,8.87
1954,26.01,8.56
1955,26.03,8.63
1956,25.90,8.28
1957,26.28,8.73
1958,26.19,8.77
1959,26.39,8.73
1960,26.36,8.58
1961,26.25,8.80
1962,26.19,8.75
1963,26.55,8.86
1964,25.96,8.41
1965,25.97,8.53
1966,26.45,8.60
1967,26.05,8.70
1968,26.29,8.52
1969,26.55,8.60
1970,26.51,8.70
1971,26.10,8.60
1972,26.28,8.50
1973,26.80,8.95
1974,26.21,8.47
1975,26.12,8.74
1976,25.84,8.35
1977,26.40,8.85
1978,26.16,8.69
1979,26.67,8.73
1980,26.47,8.98
1981,26.43,9.17
1982,26.17,8.64
1983,26.66,9.03
1984,26.64,8.69
1985,26.30,8.66
1986,26.35,8.83
1987,27.26,8.99
1988,26.78,9.20
1989,26.65,8.92
1990,26.60,9.23
