year,city,country,avg_temp
1796,Delhi,India,25.0300000000000000
1797,Delhi,India,26.7100000000000000
1798,Delhi,India,24.2900000000000000
1799,Delhi,India,25.2800000000000000
1800,Delhi,India,25.2100000000000000
1801,Delhi,India,24.2200000000000000
1802,Delhi,India,25.6300000000000000
1803,Delhi,India,25.3800000000000000
1804,Delhi,India,25.6800000000000000
1805,Delhi,India,25.3000000000000000
1806,Delhi,India,25.2200000000000000
1807,Delhi,India,24.9700000000000000
1813,Delhi,India,24.5600000000000000
1814,Delhi,India,23.7300000000000000
1815,Delhi,India,24.0900000000000000
1816,Delhi,India,23.7000000000000000
1817,Delhi,India,23.8600000000000000
1818,Delhi,India,24.3700000000000000
1819,Delhi,India,23.9000000000000000
1820,Delhi,India,24.1200000000000000
1821,Delhi,India,24.8300000000000000
1822,Delhi,India,24.9300000000000000
1823,Delhi,India,24.6300000000000000
1824,Delhi,India,25.3000000000000000
1825,Delhi,India,25.1100000000000000
1826,Delhi,India,25.1200000000000000
1827,Delhi,India,25.3600000000000000
1828,Delhi,India,24.9000000000000000
1829,Delhi,India,24.7100000000000000
1830,Delhi,India,25.0700000000000000
1831,Delhi,India,24.4300000000000000
1832,Delhi,India,24.6200000000000000
1833,Delhi,India,24.8500000000000000
1834,Delhi,India,24.8200000000000000
1835,Delhi,India,23.9000000000000000
1836,Delhi,India,24.5400000000000000
1837,Delhi,India,24.4200000000000000
1838,Delhi,India,24.3800000000000000
1839,Delhi,India,24.4500000000000000
1840,Delhi,India,24.7200000000000000
1841,Delhi,India,24.4900000000000000
1842,Delhi,India,24.7800000000000000
1843,Delhi,India,24.7500000000000000
1844,Delhi,India,24.3600000000000000
1845,Delhi,India,24.6000000000000000
1846,Delhi,India,25.1600000000000000
1847,Delhi,India,24.6600000000000000
1848,Delhi,India,24.4500000000000000
1849,Delhi,India,24.4900000000000000
1850,Delhi,India,24.7800000000000000
1851,Delhi,India,24.7600000000000000
1852,Delhi,India,24.6500000000000000
1853,Delhi,India,24.8800000000000000
1854,Delhi,India,25.0200000000000000
1855,Delhi,India,25.2400000000000000
1856,Delhi,India,23.8600000000000000
1857,Delhi,India,24.3000000000000000
1870,Delhi,India,24.8900000000000000
1871,Delhi,India,24.8800000000000000
1872,Delhi,India,24.9400000000000000
1873,Delhi,India,25.0600000000000000
1874,Delhi,India,24.2500000000000000
1875,Delhi,India,25.3800000000000000
1876,Delhi,India,24.9300000000000000
1877,Delhi,India,25.0800000000000000
1878,Delhi,India,25.1800000000000000
1879,Delhi,India,24.8600000000000000
